date,n_buckets,correlation,p_value,avg_return_buy_heavy,avg_return_sell_heavy,edge_vs_cost
2026-06-15,75087,0.10878272962436779,2.158465919338237e-196,1.419042183657241e-05,-1.6099001714602333e-05,0.015144711775587372
2026-06-19,72882,0.10639755413623955,1.8519895587237115e-182,1.5823194550911152e-05,-1.172351048282164e-05,0.013773352516866398
2026-06-22,74974,0.10618723064584425,6.709606215462543e-187,2.0032433894463433e-05,-1.3765461707280238e-05,0.01689894780087184
2026-06-26,77373,0.09634651303612174,6.137374614082608e-159,2.1920603940025255e-05,-2.615110629128244e-05,0.024035855115653846
2026-06-29,75851,0.09906104773266751,1.1007477789238519e-164,2.1134608181481486e-05,-2.1757151432277317e-05,0.0214458798068794
2026-07-03,72145,0.1149527915532077,1.0562859465404884e-210,1.4331281716889963e-05,-1.3493576404351937e-05,0.01391242906062095
2026-07-06,75505,0.09306822714621846,7.312855023840409e-145,1.738407248956594e-05,-1.6731140334019354e-05,0.017057606411792648
2026-07-10,80573,0.08198239715836549,3.518255739846209e-120,1.3251550033480026e-05,-8.709189584702543e-06,0.010980369809091284
2026-07-12,77498,0.07201804104758308,1.234138275915675e-89,5.346566289852157e-06,-6.278490411445123e-06,0.00581252835064864
2026-07-13,79760,0.09973200404552063,2.1085977006596163e-175,1.2018494215170333e-05,-1.730226618838094e-05,0.014660380201775637
